id,name,bot_image,health,attack,defence,special attack,special defence,speed,move1,move2,move3,move4,status,Type 1,Type 2,item,player_image
1,Blaziken,/data/bot_images/image1.png,301,372,158,257,176,259,overheat,earthquake,sky_uppercut,agility,NO_EFFECT,FIRE,FIGHTING,lum_berry,/data/player_images/image1.png
2,Celebi,/data/bot_images/image2.png,404,212,236,236,328,237,giga_drain,psychic,recover,hidden_power_ice,NO_EFFECT,GRASS,PSYCHIC,leftovers,/data/player_images/image2.png
3,Tyranitar,/data/bot_images/image3.png,404,335,256,226,229,142,earthquake,stone_edge,ice_beam,hidden_power_grass,NO_EFFECT,ROCK,DARK,leftovers,/data/player_images/image3.png
4,Zapdos,/data/bot_images/image4.png,321,217,185,349,216,328,thunder_bolt,heat_wave,air_slash,volt_switch,NO_EFFECT,ELECTRIC,FLYING,choice_specs,/data/player_images/image4.png
5,Aggron,/data/bot_images/image5.png,343,350,396,140,208,136,iron_head,dragon_claw,fire_punch,agility,NO_EFFECT,STEEL,NULL,sitrus_berry,/data/player_images/image5.png
6,Feraligatr,/data/bot_images/image6.png,311,309,237,136,202,348,waterfall,ice_punch,earthquake,dragon_dance,NO_EFFECT,WATER,NULL,lum_berry,/data/player_images/image6.png
7,Lanturn,/data/bot_images/image7.png,391,136,328,251,189,170,scald,thunder_bolt,heal_bell,thunder_wave,NO_EFFECT,WATER,ELECTRIC,leftovers,/data/player_images/image7.png
8,Charizard,/data/bot_images/image8.png,297,173,172,348,206,343,heat_wave,air_slash,scorching_sands,recover,NO_EFFECT,FIRE,FLYING,life_orb,/data/player_images/image8.png
9,Volcarona,/data/bot_images/image9.png,311,112,166,405,247,299,bug_buzz,heat_wave,giga_drain,quiver_dance,NO_EFFECT,BUG,FIRE,lum_berry,/data/player_images/image9.png
10,Archeops,/data/bot_images/image10.png,291,379,166,234,167,350,stone_edge,earthquake,shadow_claw,u_turn,NO_EFFECT,ROCK,FLYING,choice_scarf,/data/player_images/image10.png
11,Maractus,/data/bot_images/image11.png,354,208,298,249,233,156,giga_drain,toxic,heat_wave,protect,NO_EFFECT,GRASS,NULL,leftovers,/data/player_images/image11.png
12,Diancie,/data/bot_images/image12.png,303,328,336,236,338,94,play_rough,diamond_storm,gyro_ball,explosion,NO_EFFECT,ROCK,FAIRY,choice_band,/data/player_images/image12.png
13,Snorlax,/data/bot_images/image13.png,461,350,229,149,257,96,curse,body_slam,fire_punch,earthquake,NO_EFFECT,NORMAL,NULL,leftovers,/data/player_images/image13.png
14,Weavile,/data/bot_images/image14.png,281,339,166,113,207,383,ice_shard,night_slash,ice_punch,poison_jab,NO_EFFECT,DARK,ICE,choice_band,/data/player_images/image14.png
15,Sableye,/data/bot_images/image15.png,281,269,288,206,329,76,poltergeist,night_slash,sky_uppercut,gyro_ball,NO_EFFECT,DARK,GHOST,leftovers,/data/player_images/image15.png
16,Tapu Lele,/data/bot_images/image16.png,281,185,273,359,267,226,psychic,dazzling_gleam,hidden_power_fire,calm_mind,NO_EFFECT,PSYCHIC,FAIRY,leftovers,/data/player_images/image16.png
17,Salamence,/data/bot_images/image17.png,331,405,176,257,196,229,fire_punch,dual_wingbeat,draco_meteor,dragon_dance,NO_EFFECT,DRAGON,FLYING,lum_berry,/data/player_images/image17.png
18,Heracross,/data/bot_images/image18.png,301,349,186,104,227,295,sky_uppercut,megahorn,shadow_claw,stone_edge,NO_EFFECT,BUG,FIGHTING,life_orb,/data/player_images/image18.png
19,Azumarill,/data/bot_images/image19.png,342,398,196,140,284,136,aqua_jet,body_slam,play_rough,waterfall,NO_EFFECT,WATER,FAIRY,leftovers,/data/player_images/image19.png
20,Latias,/data/bot_images/image20.png,301,148,216,319,297,350,psychic,draco_meteor,quiver_dance,aura_sphere,NO_EFFECT,DRAGON,PSYCHIC,choice_scarf,/data/player_images/image20.png
21,Nidoking,/data/bot_images/image21.png,303,188,190,350,187,295,ice_beam,thunder_bolt,sludge_wave,earth_power,NO_EFFECT,POISON,GROUND,choice_specs,/data/player_images/image21.png
22,Steelix,/data/bot_images/image22.gif,291,269,436,146,328,58,earthquake,gyro_ball,thunder_fang,toxic,NO_EFFECT,STEEL,GROUND,sitrus_berry,/data/player_images/image22.gif
23,Weezing,/data/bot_images/image23.gif,420,166,276,207,262,190,sludge_wave,hidden_power_ice,will_o_wisp,protect,NO_EFFECT,POISON,NULL,leftovers,/data/player_images/image23.gif
24,Greninja,/data/bot_images/image24.png,285,226,153,335,178,343,dark_pulse,scald,ice_beam,u_turn,NO_EFFECT,WATER,DARK,lum_berry,/data/player_images/image24.png
25,Tapu Koko,/data/bot_images/image25.png,281,227,206,361,311,359,thunder_bolt,dazzling_gleam,hidden_power_ice,agility,NO_EFFECT,ELECTRIC,FAIRY,life_orb,/data/player_images/image25.png
26,Landorus,/data/bot_images/image26.gif,319,389,216,221,197,309,earthquake,stone_edge,u_turn,body_slam,NO_EFFECT,GROUND,FLYING,choice_scarf,/data/player_images/image26.gif
27,Donphan,/data/bot_images/image27.gif,321,305,276,156,157,218,ice_shard,earthquake,stone_edge,agility,NO_EFFECT,GROUND,NULL,leftovers,/data/player_images/image27.gif
28,Articuno,/data/bot_images/image28.gif,322,175,236,383,349,206,ice_beam,air_slash,calm_mind,heal_bell,NO_EFFECT,ICE,FLYING,leftovers,/data/player_images/image28.gif
29,Garchomp,/data/bot_images/image29.gif,357,359,226,176,207,333,dragon_claw,sky_uppercut,iron_head,dragon_dance,NO_EFFECT,DRAGON,GROUND,life_orb,/data/player_images/image29.gif
